course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-18 16:55:30.290907"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 06:57:15.545012"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:04:26.007918"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:10:33.486572"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:16:26.370568"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:22:29.956571"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:28:45.986206"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:34:32.353120"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:40:29.851759"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:46:20.179655"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:52:17.409327"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-27 07:58:06.764961"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 06:55:26.585259"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:02:50.651159"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:09:27.387057"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:15:47.212820"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:22:31.842696"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:29:08.685665"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:35:34.802103"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:43:51.984874"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:51:23.529467"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-28 07:59:56.758404"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-29 07:12:36.263236"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,15,15,No,0.0,"2021-10-29 07:20:51.776595"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-10-29 07:29:54.020625"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-10-29 07:38:53.932547"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-10-29 07:48:08.691066"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-10-29 07:56:57.403961"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 06:57:52.229649"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:04:32.871256"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:11:09.626353"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:17:28.769505"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:23:49.010132"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:30:08.998978"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:36:15.189241"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:42:29.832558"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:48:38.088753"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-01 07:54:51.682702"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 06:57:47.550634"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:05:38.951965"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:12:31.024107"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:19:26.806369"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:26:33.040697"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:34:36.811403"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:42:35.837006"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:50:47.259029"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-02 07:59:17.206792"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,14,15,No,6.66666666666667,"2021-11-03 17:05:46.419595"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:23:46.195090"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:30:04.364621"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:36:28.698080"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:42:49.743704"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:49:28.351107"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 07:55:40.284434"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-04 08:01:46.715938"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-05 10:12:58.345327"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-08 06:54:46.999230"
4039,CREOLE,102,"Elementary Creole II",-,Lecture,1,13,15,No,13.3333333333333,"2021-11-08 07:01:27.623727"
