course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-18 16:57:20.948260"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 06:58:08.575619"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:05:09.836001"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:11:18.583283"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:17:21.763970"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:23:15.880699"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:29:38.962059"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:35:14.077621"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:41:12.796213"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:47:08.719317"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:53:00.018925"
2805,GSF,439,"Queer China",-,Lecture,1,30,30,No,0.0,"2021-10-27 07:58:58.217359"
2805,GSF,439,"Queer China",-,Lecture,1,28,30,No,6.66666666666667,"2021-10-28 06:56:12.389103"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:03:54.559016"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:10:15.795294"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:16:34.111557"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:23:22.814849"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:30:00.906464"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:36:45.728641"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:44:29.947047"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 07:52:29.590693"
2805,GSF,439,"Queer China",-,Lecture,1,27,30,No,10.0,"2021-10-28 08:01:17.962019"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:03:25.998144"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:13:41.304084"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:22:10.597810"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:31:22.736652"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:40:10.469009"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:49:31.000857"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-10-29 07:58:09.080194"
2805,GSF,439,"Queer China",-,Lecture,1,25,30,No,16.6666666666667,"2021-11-01 06:58:46.868508"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:05:31.776318"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:12:07.831078"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:18:21.686023"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:24:47.889900"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:31:00.369030"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:37:07.960023"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:43:22.015367"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:49:30.800649"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-01 07:55:48.233877"
2805,GSF,439,"Queer China",-,Lecture,1,24,30,No,20.0,"2021-11-02 06:58:54.236414"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:06:42.563604"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:13:35.459918"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:20:20.407161"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:27:13.084896"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:35:31.737027"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:43:31.243204"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 07:51:57.303935"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-02 08:00:12.757058"
2805,GSF,439,"Queer China",-,Lecture,1,23,30,No,23.3333333333333,"2021-11-03 17:07:02.111431"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:24:40.646930"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:30:59.367335"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:37:25.132261"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:43:52.693366"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:50:24.266938"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 07:56:33.170579"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-04 08:02:38.178808"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-05 10:13:54.401155"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 06:55:47.904773"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:02:50.079169"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:09:26.804890"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:15:46.781840"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:21:37.672080"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:27:54.808415"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:34:01.399173"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:40:18.553444"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:46:35.034422"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:53:08.757808"
2805,GSF,439,"Queer China",-,Lecture,1,21,30,No,30.0,"2021-11-08 07:59:35.684691"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-18 16:57:20.940308"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 06:58:08.575240"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:05:09.835687"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:11:18.582673"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:17:21.763652"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:23:15.880377"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:29:38.961454"
2822,GSF,296S,"Black Muslims: Race, Religion, & Culture",-,SEM,1,18,18,No,0.0,"2021-10-27 07:35:14.076391"
